name,url,browser,start_time,end_time,size,path
it.colucciweb.vpnclientpro_1.01.18-12010118_minAPI15(armeabi-v7a)(nodpi)_apkmirror.com.apk,https://www.apkmirror.com/wp-content/themes/APKMirror/download.php?id=3920456&key=e4b3bc7225e9d302966ab0e8dca6e39f07d2c98d,Chrome,2022-09-18 오후 9:22:36,2022-09-18 오후 9:22:39,"13,485,097",D:\goodsample\it.colucciweb.vpnclientpro_1.01.18-12010118_minAPI15(armeabi-v7a)(nodpi)_apkmirror.com.apk
com.instabridge.android_22.2022.09.16.1230-100452_4arch_3dpi_14lang_ad75024e2930da8489489abe30afe2b1_apkmirror.com.apkm,https://www.apkmirror.com/wp-content/themes/APKMirror/download.php?id=3920492&key=c2a4c5806e574bb67b9acc0c101368f0d526d50d,Chrome,2022-09-18 오후 9:22:23,2022-09-18 오후 9:22:34,"110,385,688",D:\goodsample\com.instabridge.android_22.2022.09.16.1230-100452_4arch_3dpi_14lang_ad75024e2930da8489489abe30afe2b1_apkmirror.com.apkm
com.BeerMoneyGames.Demolition2_1.6.95-1695_4arch_767af10a3fd2c97909cabcda7cc7392a_apkmirror.com.apkm,https://www.apkmirror.com/wp-content/themes/APKMirror/download.php?id=3920538&key=9fbcfaa15b22a07703612eaa6ccf3a6d13f47a2a,Chrome,2022-09-18 오후 9:21:56,2022-09-18 오후 9:22:18,"161,383,615",D:\goodsample\com.BeerMoneyGames.Demolition2_1.6.95-1695_4arch_767af10a3fd2c97909cabcda7cc7392a_apkmirror.com.apkm
"OCTech.Mobile.Applications.OBDLink_5.31.0-81_minAPI21(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",https://www.apkmirror.com/wp-content/themes/APKMirror/download.php?id=3920549&key=4a4e22d23d7a6132298e0e479395b01c6af9e01d&forcebaseapk=true,Chrome,2022-09-18 오후 9:21:45,2022-09-18 오후 9:21:51,"44,271,625","D:\goodsample\OCTech.Mobile.Applications.OBDLink_5.31.0-81_minAPI21(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk"
"com.gm.shadhin_2.3.21-221_minAPI21(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",https://www.apkmirror.com/wp-content/themes/APKMirror/download.php?id=3920558&key=15c0792f65127f7f9611d33fd143cbff5c1bbde3&forcebaseapk=true,Chrome,2022-09-18 오후 9:21:38,2022-09-18 오후 9:21:42,"23,360,982","D:\goodsample\com.gm.shadhin_2.3.21-221_minAPI21(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk"
com.isaiasmatewos.texpand_2.2.5_-_d74e253-3000022_minAPI24(nodpi)_apkmirror.com.apk,https://www.apkmirror.com/wp-content/themes/APKMirror/download.php?id=3920587&key=02b690353d57a9c25a24e7fa6c8fd926835c3b89&forcebaseapk=true,Chrome,2022-09-18 오후 9:21:31,2022-09-18 오후 9:21:33,"4,845,492",D:\goodsample\com.isaiasmatewos.texpand_2.2.5_-_d74e253-3000022_minAPI24(nodpi)_apkmirror.com.apk
com.miui.global.packageinstaller_2.3.6-236_minAPI23(armeabi)(nodpi)_apkmirror.com (1).apk,https://www.apkmirror.com/wp-content/themes/APKMirror/download.php?id=3919848&key=1863914c04e7fe084e088e9b239aaff876cc94b3,Chrome,2022-09-18 오후 9:09:06,2022-09-18 오후 9:09:09,"12,897,834",D:\goodsample\com.miui.global.packageinstaller_2.3.6-236_minAPI23(armeabi)(nodpi)_apkmirror.com (1).apk
"com.xiaomi.mipicks_24.4.0.0-4002440_minAPI23(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com (1).apk",https://www.apkmirror.com/wp-content/themes/APKMirror/download.php?id=3919121&key=6b153335af8427e3ecaabaff2863f4330cf51673,Chrome,2022-09-18 오후 9:08:55,2022-09-18 오후 9:09:01,"28,517,888","D:\goodsample\com.xiaomi.mipicks_24.4.0.0-4002440_minAPI23(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com (1).apk"
com.shopee.tw_2.93.14-689_minAPI19(armeabi-v7a)(nodpi)_apkmirror.com (1).apk,https://www.apkmirror.com/wp-content/themes/APKMirror/download.php?id=3920259&key=8062137b3dc662cccaf09193e02152f78b5894e1&forcebaseapk=true,Chrome,2022-09-18 오후 9:08:37,2022-09-18 오후 9:08:49,"77,086,373",D:\goodsample\com.shopee.tw_2.93.14-689_minAPI19(armeabi-v7a)(nodpi)_apkmirror.com (1).apk
"com.petco.mobile_7.15.4-22091701_minAPI25(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk",https://www.apkmirror.com/wp-content/themes/APKMirror/download.php?id=3919932&key=996ba0d435d0d32f829bd46e41a936cfdd9bfeb4,Chrome,2022-09-18 오후 9:08:07,2022-09-18 오후 9:08:21,"73,997,535","D:\goodsample\com.petco.mobile_7.15.4-22091701_minAPI25(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk"
